,id_offre,entreprise,type_contrat,localisation,modalites_de_tetetravail,url,duree_du_contrat,tag recruteur_reactif,titre_job,date_publication
319,30987436,Team.is,CDI,Cestas - 33,Télétravail partiel,https://www.hellowork.comhttps://www.hellowork.com/fr-fr/emplois/30987436.html,,,                         Data Scientist H/F                     ,                         02/04/2023                     
320,32292409,MAS SEEDS,CDI,Haut-Mauco - 40,,https://www.hellowork.comhttps://www.hellowork.com/fr-fr/emplois/32292409.html,,,                         Agro-Ecological Solution Designer H/F                     ,                         02/04/2023                     
321,31879016,Skayl Mulhouse,CDI,Meaux - 77,,https://www.hellowork.comhttps://www.hellowork.com/fr-fr/emplois/31879016.html,,,                         Responsable Process Usine et Laboratoire H/F                     ,                         24/04/2023                     
322,34134201,Groupama Rhône Alpes Auvergne,CDI,Lyon - 69,,https://www.hellowork.comhttps://www.hellowork.com/fr-fr/emplois/34134201.html,,,                         Chef de Projet Transformation H/F                     ,                         13/04/2023                     
323,33170452,Expectra,Intérim,Marcy-l'Étoile - 69,,https://www.hellowork.comhttps://www.hellowork.com/fr-fr/emplois/33170452.html,7 mois,,                         Biostatisticien H/F                     ,                                                                                       21/04/2023                     
324,25613903,Working Spirit,CDI,Delle - 90,,https://www.hellowork.comhttps://www.hellowork.com/fr-fr/emplois/25613903.html,,,                         Data Analyst - Machine Learning Expert H/F                     ,                         12/04/2023                     
325,32577747,CEA,CDD,Cadarache - 13,Télétravail partiel,https://www.hellowork.comhttps://www.hellowork.com/fr-fr/emplois/32577747.html,,,                         Ingénieur en Machine Learning & Data Science H/F                     ,                         09/04/2023                     
326,33370697,Anderson RH,CDI,Voreppe - 38,Télétravail partiel,https://www.hellowork.comhttps://www.hellowork.com/fr-fr/emplois/33370697.html,,,                         Ingénieur Métallurgiste du Service Clientèle Technique - Formation en France H/F                     ,                         26/04/2023                     
327,32996973,IT Link,CDI,Rennes - 35,Télétravail partiel,https://www.hellowork.comhttps://www.hellowork.com/fr-fr/emplois/32996973.html,,,                         Architecte Technico-Fonctionnel Expert H/F                     ,                         17/04/2023                     
328,33726150,CS GROUP,CDI,Fontaine - 38,,https://www.hellowork.comhttps://www.hellowork.com/fr-fr/emplois/33726150.html,,,                         Ingénieur Logiciel C++ H/F                     ,                         03/04/2023                     
329,34810224,IT Link,CDI,Lyon - 69,Télétravail partiel,https://www.hellowork.comhttps://www.hellowork.com/fr-fr/emplois/34810224.html,,,                         Ingénieur Supervision Machine Spéciale H/F                     ,                         hier                     
330,32853505,CS GROUP,CDI,Toulouse - 31,Télétravail partiel,https://www.hellowork.comhttps://www.hellowork.com/fr-fr/emplois/32853505.html,,,                         Chef de Projet Si H/F                     ,                                                                                       14/04/2023                     
331,32862726,CS GROUP,CDI,Toulouse - 31,Télétravail partiel,https://www.hellowork.comhttps://www.hellowork.com/fr-fr/emplois/32862726.html,,,                         Directeur de Projet Si Métier H/F                     ,                                                                                       14/04/2023                     
332,32862674,CS GROUP,CDI,Toulouse - 31,Télétravail partiel,https://www.hellowork.comhttps://www.hellowork.com/fr-fr/emplois/32862674.html,,,                         Architecte Plateforme Big Data - DevOps H/F                     ,                                                                                       14/04/2023                     
333,31347369,CS GROUP,CDI,Toulouse - 31,Télétravail partiel,https://www.hellowork.comhttps://www.hellowork.com/fr-fr/emplois/31347369.html,,,                         Ingénieur Développeur C++ - Qt H/F                     ,                         10/04/2023                     
334,33961610,RATP,CDI,Paris 12e - 75,Télétravail partiel,https://www.hellowork.comhttps://www.hellowork.com/fr-fr/emplois/33961610.html,,,                         Chief Data Scientist H/F                     ,                         07/04/2023                     
335,34124253,SNEF LAB,CDI,Six-Fours-les-Plages - 83,,https://www.hellowork.comhttps://www.hellowork.com/fr-fr/emplois/34124253.html,,,                         Data Analyst H/F                     ,                                                                                       13/04/2023                     
336,34123139,SNEF LAB,CDI,Nancy - 54,,https://www.hellowork.comhttps://www.hellowork.com/fr-fr/emplois/34123139.html,,,                         Data Analyst H/F                     ,                                                                                       13/04/2023                     
337,34821479,Capgemini,CDI,Lyon 7e - 69,,https://www.hellowork.comhttps://www.hellowork.com/fr-fr/emplois/34821479.html,,,                         Ingénieur Supply Chain Expérimenté Lyon H/F                     ,                         il y a 6 heures                     
338,33191046,Crédit Agricole Assurances,CDI,Paris - 75,Télétravail partiel,https://www.hellowork.comhttps://www.hellowork.com/fr-fr/emplois/33191046.html,,,                         Charge Etudes Actuarielles - Data Risk Monitoring H/F                     ,                         22/04/2023                     
339,26223404,Havana IT & Apps,CDI,Aix-en-Provence - 13,Télétravail partiel,https://www.hellowork.comhttps://www.hellowork.com/fr-fr/emplois/26223404.html,,,                         Ingénieur Nlp - Python - Réf Jmvsudinp H/F                     ,                         il y a 13 heures                     
340,27154531,IT Link,CDI,Le Kremlin-Bicêtre - 94,Télétravail partiel,https://www.hellowork.comhttps://www.hellowork.com/fr-fr/emplois/27154531.html,,,                         Chargé.e de Recrutement Expérimenté.e - X H/F                     ,                         21/04/2023                     
341,30474265,CS GROUP,CDI,Le Plessis-Robinson - 92,Télétravail partiel,https://www.hellowork.comhttps://www.hellowork.com/fr-fr/emplois/30474265.html,,,                         Ingénieur Développeur et Intégrateur H/F                     ,                         20/04/2023                     
342,30473503,CS GROUP,CDI,Le Plessis-Robinson - 92,Télétravail partiel,https://www.hellowork.comhttps://www.hellowork.com/fr-fr/emplois/30473503.html,,,                         Ingénieur en Calcul Scientifique Hpc H/F                     ,                         20/04/2023                     
343,30474511,CS GROUP,CDI,Le Plessis-Robinson - 92,Télétravail partiel,https://www.hellowork.comhttps://www.hellowork.com/fr-fr/emplois/30474511.html,,,                         Responsable Maintenance Logiciel Nucléaire H/F                     ,                         20/04/2023                     
