,id_offre,entreprise,type_contrat,localisation,modalites_de_tetetravail,url,duree_du_contrat,tag recruteur_reactif,titre_job,date_publication
980,18133632,CGI,CDI,Toulouse - 31,Télétravail occasionnel,https://www.hellowork.com/fr-fr/emplois/18133632.html,,,                         Ingénieur Devops H/F                     ,                         04/04/2023                     
981,33636270,Team.is,CDI,Pessac - 33,,https://www.hellowork.com/fr-fr/emplois/33636270.html,,,                         Engineering Manager H/F                     ,                         31/03/2023                     
982,33636250,Team.is,CDI,Bordeaux - 33,,https://www.hellowork.com/fr-fr/emplois/33636250.html,,,                         Responsable Technique IT H/F                     ,                         31/03/2023                     
983,33636224,Team.is,CDI,Bordeaux - 33,,https://www.hellowork.com/fr-fr/emplois/33636224.html,,,                         Cto - Engineering Manager H/F                     ,                         31/03/2023                     
984,33636222,Team.is,CDI,Bordeaux - 33,,https://www.hellowork.com/fr-fr/emplois/33636222.html,,,                         Responsable Technique IT H/F                     ,                         31/03/2023                     
985,33636190,Team.is,CDI,Pessac - 33,,https://www.hellowork.com/fr-fr/emplois/33636190.html,,,                         Cto - Engineering Manager H/F                     ,                         31/03/2023                     
986,33636162,Team.is,CDI,Pessac - 33,,https://www.hellowork.com/fr-fr/emplois/33636162.html,,,                         Responsable Technique IT H/F                     ,                         31/03/2023                     
987,33811421,EY,CDI,Paris - Nanterre,Télétravail partiel,https://www.hellowork.com/fr-fr/emplois/33811421.html,,,                         Consultants Débutants en Stratégie IT - Secteur Financier 1 H/F                     ,                         05/04/2023                     
988,32266422,Silkhom,CDI,Valence - 26,,https://www.hellowork.com/fr-fr/emplois/32266422.html,,,                         Chef de Projet Infrastructure - Client Final H/F                     ,                         02/04/2023                     
989,15569127,Boisdron et Associés,CDI,Lille - Paris,Télétravail occasionnel,https://www.hellowork.com/fr-fr/emplois/15569127.html,,,                         Directeur Etudes Prix Conception Réalisation au Sein d'Un Contractant Global en TCE Paris ou Lille H/F                     ,                                                                                       02/04/2023                     
990,32266402,Silkhom,CDI,Valence - 26,,https://www.hellowork.com/fr-fr/emplois/32266402.html,,,                         Ingénieur Systèmes et Réseaux - Client Final H/F                     ,                         02/04/2023                     
991,33505812,SIA Partners,CDI,Nantes - 44,,https://www.hellowork.com/fr-fr/emplois/33505812.html,,,                         Consultant en Transformation Digitale - Bureau de Nantes H/F                     ,                         29/03/2023                     
992,30827096,Expectra,CDI,Sèvremoine - 49,,https://www.hellowork.com/fr-fr/emplois/30827096.html,,,                         Ingénieur Amélioration Continue - Leader d'Équipe de Production H/F                     ,                                                                                       28/03/2023                     
993,34664222,CGI,CDI,Toulouse - 31,Télétravail occasionnel,https://www.hellowork.com/fr-fr/emplois/34664222.html,,,                         Architecte - Expert Technique Cloud H/F                     ,                         26/04/2023                     
994,32578681,Atos,CDI,Les Clayes-sous-Bois - 78,Télétravail partiel,https://www.hellowork.com/fr-fr/emplois/32578681.html,,,                         Ingénieur Services Professionnels H/F                     ,                         09/04/2023                     
995,34481018,Expleo,CDI,Montigny-le-Bretonneux - 78,Télétravail partiel,https://www.hellowork.com/fr-fr/emplois/34481018.html,,,                         Docteur en Robotique - Mécatronique Ingénierie R&D H/F                     ,                         21/04/2023                     
996,32329534,Team.is,CDI,Limas - 69,,https://www.hellowork.com/fr-fr/emplois/32329534.html,,,                         Développeur Full-Stack Java H/F                     ,                                                                                       03/04/2023                     
997,33591202,Atos,CDI,Angers - 49,Télétravail partiel,https://www.hellowork.com/fr-fr/emplois/33591202.html,,,                         Gestionnaire Données Produits H/F                     ,                         30/03/2023                     
998,33636246,Team.is,CDI,Limas - 69,,https://www.hellowork.com/fr-fr/emplois/33636246.html,,,                         Développeur Full-Stack Java H/F                     ,                                                                                       31/03/2023                     
